1597	STRANGE NEW BIOCULTURE FORMING ON OTHER END OF OFFICE	25809	Strange New Culture Forming On Other End Of Office	http://www.theonion.com/articles/strange-new-culture-forming-on-other-end-of-office,32727/
25699	'CHANGE!' INSANE MAN IN WINDOWLESS APARTMENT ANNOUNCES TO COCKATOO	21747	'Wig Change!' Insane Man In Windowless Apartment Announces To Cockatoo	http://www.theonion.com/articles/wig-change-insane-man-in-windowless-apartment-anno,26846/
11246	OXFORD ENGLISH DICTIONARY TO ADD 'SKYPE' AND 'TWEET' TO LATEST EDITION	20797	Oxford English Dictionary To Add 'Skype' And 'Coat' To Latest Edition	http://www.theonion.com/articles/oxford-english-dictionary-to-add-skype-and-coat-to,19729/
20364	HBO ANNOUNCES ‘GAME OF THRONES’ NOT COMING BACK 	26506	HBO Announces ‘Game Of Thrones’ Not Coming Back This Weekend	http://www.theonion.com/articles/hbo-announces-game-of-thrones-not-coming-back-this,34262/
18741	"Trump refuses to read headline beyond words ""4-year-old collusion investigation forced to"""	18959	Nation Refuses To Read Headline Beyond Words '4-Year-Old Girl Forced To'	http://www.theonion.com/articles/nation-refuses-to-read-headline-beyond-words-4year,27379/
2541	TECHNICAL, BARELY STAFFED PRESCHOOL TEACHES WELDING TO KIDS	25272	Technical Preschool Teaches Welding To Kids	http://www.theonion.com/audio/technical-preschool-teaches-welding-to-kids,13590/
16770	‘IT’S LIKE BIGGIE AND TUPAC ALL OVER AGAIN,’ SAYS OBAMA OF KOREAN CONFLICT	18727	‘It’s Like Biggie And Tupac All Over Again,’ Says Dumbass Of Korean Conflict	http://www.theonion.com/articles/its-like-biggie-and-tupac-all-over-again-says-dumb,31620/
16625	NARCISSIST FAILS TO FIND SYMPTOMS IN DIAGNOSIS	18950	Narcissist Thrilled To Find Symptoms In DSM-IV	http://www.theonion.com/articles/narcissist-thrilled-to-find-symptoms-in-dsmiv,27296/
26271	BUCCANEERS INFORM JEFF GARCIA THAT the TEAM NO Longer WANTED HIM	23234	Buccaneers Inform Jeff Garcia That No Team Ever Wanted Him	http://www.theonion.com/articles/buccaneers-inform-jeff-garcia-that-no-team-ever-wa,6590/
23061	Cartier to give cologne another shot	19346	Man To Give Cologne Another Shot	http://www.theonion.com/articles/man-to-give-cologne-another-shot,28058/
3727	ELITE CONGRESSMAN CAUGHT GIVING ORAL SEX TO A SPALDING BASKTBALL	27140	Elite Congressman Trained To Kill Legislation In 24 Different Ways	http://www.theonion.com/articles/elite-congressman-trained-to-kill-legislation-in-2,35741/
2172	UNDERGROUND RAILROAD CARRIEd SLAVES FROM mississippi TO MANHATTAN	19295	'Underground Railroad' Carries Slaves From Brooklyn to Manhattan	http://www.theonion.com/articles/underground-railroad-carries-slaves-from-brooklyn,4393/
12926	Google launches 'the goggles' for older adults	23027	Google Launches 'The Google' For Older Adults	http://www.theonion.com/articles/google-launches-the-google-for-older-adults,5850/
14767	HIGHSCHOOL TEACHER CONSTANTLY ABUSED VULNERABLE STUDENTS	21706	Highschool Teacher Constantly Uses Janitor As Example	http://www.theonion.com/audio/highschool-teacher-constantly-uses-janitor-as-exam,26758/
15139	CONGRESS APPROVES $500 BILLION FOR MONUMENT TO HUMAN TRAFFICKING VICTIMS	24031	Congress Approves $500 Billion For Monument To Human Folly	http://www.theonion.com/articles/congress-approves-500-billion-for-monument-to-huma,2842/
9567	AMERICAN CITIZENS SPLIT ON DOJ MEMO AUTHORIZING GOVERNMENT TO KILL 	18523	American Citizens Split On DOJ Memo Authorizing Government To Kill Them	http://www.theonion.com/articles/american-citizens-split-on-doj-memo-authorizing-go,31207/
18258	NATION'S LOWER CLASS STILL WAITING FOR representation BY EITHER PRESIDENTIAL CANDIDATE	20297	Nation's Lower Class Still Waiting For First Mention By Either Presidential Candidate	http://www.theonion.com/articles/nations-lower-class-still-waiting-for-first-mentio,30185/
4876	Fallout shelter been found in a man's backyard	25195	Dead Whale Buried In Aquarium's Backyard	http://www.theonion.com/audio/dead-whale-buried-in-aquariums-backyard,13559/
3481	ENGAGEMENT PHOTOGRAPHER REALLY PUSHING ‘VINTAGE'	26869	Engagement Photographer Really Pushing ‘Vintage Couch In A Field’	http://www.theonion.com/articles/engagement-photographer-really-pushing-vintage-cou,35137/
24183	HOTEL'S TV CHANNELS MEMORIZED BY FREQUENT FLIERS	19743	Hotel's TV Channels Memorized By Second Day of Vacation	http://www.theonion.com/articles/hotels-tv-channels-memorized-by-second-day-of-vaca,28897/
20356	OBAMA NARROWLY MISSES PERFORMANCE BONUS THIS QUARTER	27439	Obama Narrowly Misses Quarterly Performance Bonus	http://www.theonion.com/articles/obama-narrowly-misses-quarterly-performance-bonus,36392/
20707	MARINERS IMPROVE TO EIGHT GAMES OVER 500	24799	Mariners Improve To Eight Games Over .300	http://www.theonion.com/articles/mariners-improve-to-eight-games-over-300,6231/
8078	WHEELCHAIR-BOUND STUDENT WOULD HAVE PREFERRED TO DRIVE A RALLY CAR	21564	Wheelchair-Bound Student Would Have Preferred To Sit Out Pep Rally	http://www.theonion.com/audio/wheelchairbound-student-would-have-preferred-to-si,26582/
19979	INTERN SENT TO TESTIFY BEFORE CONGRESS	25220	Intern Sent To Testify Before Congress For The Experience	http://www.theonion.com/audio/intern-sent-to-testify-before-congress-for-the-exp,13569/
