1988	Naked MAN SNEAKS INTO MACY'S THANKSGIVING DAY PARADE	20427	Area Man Sneaks Own Balloon Into Macy's Thanksgiving Day Parade	http://www.theonion.com/audio/area-man-sneaks-own-balloon-into-macys-thanksgivin,30473/
10017	AMERICA'S SWEETHEART DUMPS Boyfriend for nfl quarterback	22349	America's Sweetheart Dumps U.S. For Some Douchebag	http://www.theonion.com/articles/americas-sweetheart-dumps-us-for-some-douchebag,1207/
25123	Area Man Stuffs Few More Potato Chips into mouth before last play	18497	Area Man To Stuff Few More Potato Chips Into Mouth Before Talking About Last Play	http://www.theonion.com/articles/area-man-to-stuff-few-more-potato-chips-into-mouth,31136/
20112	CONGRESS ALLOCATES $250 MILLION TO COMBAT CLIMATE CHANGE	22211	Stuffed-Up Congress Allocates $250 Million To Destroy Pollen	http://www.theonion.com/articles/stuffedup-congress-allocates-250-million-to-destro,17368/
3285	SEVERAL KILLED IN SHOOTING, POLICE REPORT CONFIRMS	21921	Several Probably Killed In Shooting, Lazy Police Report Confirms	http://www.theonion.com/articles/several-probably-killed-in-shooting-lazy-police-re,7029/
1	attempt to rob atm backfires	19304	Cocky Attempt To Operate ATM In Spanish Backfires	http://www.theonion.com/audio/cocky-attempt-to-operate-atm-in-spanish-backfires,27995/
18822	DUSTY BAKER DESTROYS AROLDIS CHAPMAN'S TEAM WITHIN MINUTES OF ARRIVAL	21952	Dusty Baker Destroys Aroldis Chapman's Arm Within Minutes Of Arrival	http://www.theonion.com/articles/dusty-baker-destroys-aroldis-chapmans-arm-within-m,7043/
25090	Farm Area Locusts could eat	22731	Area Man Could Eat	http://www.theonion.com/articles/area-man-could-eat,18340/
24761	Children of all ages delighted by parade of Topsy the elephant	22274	Children Of All Ages Delighted By Enslavement Of Topsy The Elephant	http://www.theonion.com/articles/children-of-all-ages-delighted-by-enslavement-of-t,17534/
2981	BUSH VOWS TO REMOVE TOXIC PETROL FROM NATIONAL PARKS	24698	Bush Vows To Remove Toxic Petroleum From National Parks	http://www.theonion.com/articles/bush-vows-to-remove-toxic-petroleum-from-national,302/
21142	AMERICAN WOMAN HAS SYMMETRIC FACE	22298	Rubenesque Woman Has Picassoesque Face	http://www.theonion.com/audio/rubenesque-woman-has-picassoesque-face,17567/
9496	NATION'S DOGS DANGEROUSLY OVERFED, SAY VETERINARIANS	21468	Nation's Dogs Dangerously Underpetted, Say Dogs	http://www.theonion.com/audio/nations-dogs-dangerously-underpetted-say-dogs,26309/
20281	INCREASE IN NHL ANKLE INJURIES LINKED TO SYNTHETIC ASTRO-ICE	18948	Increase In NHL Ankle Injuries Linked To Super-Slick Synthetic Astro-Ice	http://www.theonion.com/articles/increase-in-nhl-ankle-injuries-linked-to-superslic,27265/
7893	CIA DECLASSIFIES THOUSANDS OF BLACK-OPS FILES	22320	CIA Declassifies Thousands Of Black-Ops 'Humor In Uniform' Jokes	http://www.theonion.com/articles/cia-declassifies-thousands-of-blackops-humor-in-un,17653/
24190	CARMELO ANTHONY CALLED FOR TRAVELING BACK IN PLANE	22112	Carmelo Anthony Called For Traveling Back In Time	http://www.theonion.com/articles/carmelo-anthony-called-for-traveling-back-in-time,17057/
18065	Fluids in Kobe Bryant's knee diagnosed	22914	Fluid Just Happy To Have Had Opportunity To Build Up In Kobe Bryant's Knee	http://www.theonion.com/articles/fluid-just-happy-to-have-had-opportunity-to-build,17479/
11868	IN CAUTIONARY FILM 'MULTIPLICITY,' GENETICISTS DETERMINED TO CLONE MICHAEL KEATON	18422	Despite Lessons Of Cautionary Film 'Multiplicity,' Geneticists Determined To Clone Michael Keaton	http://www.theonion.com/articles/despite-lessons-of-cautionary-film-multiplicity-ge,31045/
10845	BIDEN CALLS IRONIC ON QADDAFI'S CLOTHES	20859	Biden Calls Dibs On Qaddafi's Clothes	http://www.theonion.com/articles/biden-calls-dibs-on-qaddafis-clothes,19893/
11479	PRINCE WILLIAM PROPOSES TO KATE MIDDLETON AFTER 5 WEEKS ABROAD	21027	Prince William Divorces Kate Middleton After 5 Weeks	http://www.theonion.com/articles/prince-william-divorces-kate-middleton-after-5-wee,20648/
