1988	Naked MAN SNEAKS INTO MACY'S THANKSGIVING DAY PARADE	0
20427	Area Man Sneaks Own Balloon Into Macy's Thanksgiving Day Parade	1
10017	AMERICA'S SWEETHEART DUMPS Boyfriend for nfl quarterback	0
22349	America's Sweetheart Dumps U.S. For Some Douchebag	1
25123	Area Man Stuffs Few More Potato Chips into mouth before last play	0
18497	Area Man To Stuff Few More Potato Chips Into Mouth Before Talking About Last Play	1
20112	CONGRESS ALLOCATES $250 MILLION TO COMBAT CLIMATE CHANGE	0
22211	Stuffed-Up Congress Allocates $250 Million To Destroy Pollen	1
3285	SEVERAL KILLED IN SHOOTING, POLICE REPORT CONFIRMS	0
21921	Several Probably Killed In Shooting, Lazy Police Report Confirms	1
1	attempt to rob atm backfires	0
19304	Cocky Attempt To Operate ATM In Spanish Backfires	1
18822	DUSTY BAKER DESTROYS AROLDIS CHAPMAN'S TEAM WITHIN MINUTES OF ARRIVAL	0
21952	Dusty Baker Destroys Aroldis Chapman's Arm Within Minutes Of Arrival	1
25090	Farm Area Locusts could eat	0
22731	Area Man Could Eat	1
24761	Children of all ages delighted by parade of Topsy the elephant	0
22274	Children Of All Ages Delighted By Enslavement Of Topsy The Elephant	1
2981	BUSH VOWS TO REMOVE TOXIC PETROL FROM NATIONAL PARKS	0
24698	Bush Vows To Remove Toxic Petroleum From National Parks	1
21142	AMERICAN WOMAN HAS SYMMETRIC FACE	0
22298	Rubenesque Woman Has Picassoesque Face	1
9496	NATION'S DOGS DANGEROUSLY OVERFED, SAY VETERINARIANS	0
21468	Nation's Dogs Dangerously Underpetted, Say Dogs	1
20281	INCREASE IN NHL ANKLE INJURIES LINKED TO SYNTHETIC ASTRO-ICE	0
18948	Increase In NHL Ankle Injuries Linked To Super-Slick Synthetic Astro-Ice	1
7893	CIA DECLASSIFIES THOUSANDS OF BLACK-OPS FILES	0
22320	CIA Declassifies Thousands Of Black-Ops 'Humor In Uniform' Jokes	1
24190	CARMELO ANTHONY CALLED FOR TRAVELING BACK IN PLANE	0
22112	Carmelo Anthony Called For Traveling Back In Time	1
18065	Fluids in Kobe Bryant's knee diagnosed	0
22914	Fluid Just Happy To Have Had Opportunity To Build Up In Kobe Bryant's Knee	1
11868	IN CAUTIONARY FILM 'MULTIPLICITY,' GENETICISTS DETERMINED TO CLONE MICHAEL KEATON	0
18422	Despite Lessons Of Cautionary Film 'Multiplicity,' Geneticists Determined To Clone Michael Keaton	1
10845	BIDEN CALLS IRONIC ON QADDAFI'S CLOTHES	0
20859	Biden Calls Dibs On Qaddafi's Clothes	1
11479	PRINCE WILLIAM PROPOSES TO KATE MIDDLETON AFTER 5 WEEKS ABROAD	0
21027	Prince William Divorces Kate Middleton After 5 Weeks	1
1043	STUDY: DEPRESSION HITS TEENS HARDEST	0
22075	Study: Depression Hits Losers Hardest	1
1055	STUDY: DEPRESSION HITS LOWER CLASS HARDEST	0
22075	Study: Depression Hits Losers Hardest	1
22441	Member hated book. 	0
20722	Member Of Book Group Just Loved This Book A Little Less Is All	1
15543	Pre-Season? What?	0
21419	NHL Not Quite Sure Why It Has A Preseason	1
21750	PRAYERS ANSWERED	0
22025	Prayers Answered By Random Series Of Events In Cold, Uncaring Universe	1
6013	PAKISTANI INTELLIGENCE ANNOUNCES ITS participation WITH U.S. FORCES DURING UPCOMING JUNE 12 military exercise NEAR SMALL TOWN OF RAZMANI IN NORTH WAZIRISTAN	0
21044	Pakistani Intelligence Announces Its Full Cooperation With U.S. Forces During Upcoming Top Secret June 12 Drone Strike On Al-Qaeda At 5:23 A.M. Near Small Town Of Razmani In North Waziristan	1
2553	Investors Find Investment In Facebook Regrettable	0
19887	Area Man Regrets Investing In Facebook	1
7702	NEW MEDICARE LAW WOULD REQUIRE DENYING PROGRAM TO ANYONE BORN AFTER JANUARY 1, 2012	0
21816	New Medicare Law Would Require Never Mentioning Program To Anyone Born After January 1, 2012	1
6473	CRASH NEARLY BLOWS ALL THE GOODWILL BUILT UP BY WALL STREET IN RECENT YEARS	0
