28967	paula deen loses ham endorsement deal	0
25809	Strange New Culture Forming On Other End Of Office	1
11156	protesters in haiti demand withdrawal of u.n. peacekeepers	0
21747	'Wig Change!' Insane Man In Windowless Apartment Announces To Cockatoo	1
9741	panorama: the battle of swat valley	0
20797	Oxford English Dictionary To Add 'Skype' And 'Coat' To Latest Edition	1
13838	cool stuff on dvd this week - pop candy	0
26506	HBO Announces ‘Game Of Thrones’ Not Coming Back This Weekend	1
13344	georgia centenarian voter lauded by obama dies	0
18959	Nation Refuses To Read Headline Beyond Words '4-Year-Old Girl Forced To'	1
12989	georgians say they have proof of bigfoot	0
25272	Technical Preschool Teaches Welding To Kids	1
11618	protesters scuffle with police at uk student demonstration	0
18727	‘It’s Like Biggie And Tupac All Over Again,’ Says Dumbass Of Korean Conflict	1
11011	olivia munn shares her secrets to maintaining her smokin' body	0
18950	Narcissist Thrilled To Find Symptoms In DSM-IV	1
18267	worldview: gates is worth keeping	0
23234	Buccaneers Inform Jeff Garcia That No Team Ever Wanted Him	1
10756	network of wildfires tears through central california	0
19346	Man To Give Cologne Another Shot	1
28165	chicken pox lollipops ineffective	0
27140	Elite Congressman Trained To Kill Legislation In 24 Different Ways	1
16244	a historic victory. a changed nation. now, can obama deliver?	0
19295	'Underground Railroad' Carries Slaves From Brooklyn to Manhattan	1
9852	the last days of lehman brothers	0
23027	Google Launches 'The Google' For Older Adults	1
9820	manchester marathon security reviewed after boston blasts	0
21706	Highschool Teacher Constantly Uses Janitor As Example	1
10867	manny ramirez arrested in domestic dispute	0
24031	Congress Approves $500 Billion For Monument To Human Folly	1
12914	wedding-day disasters didn't stop 'i dos'	0
18523	American Citizens Split On DOJ Memo Authorizing Government To Kill Them	1
13143	the funny side of global warming and jihad	0
20297	Nation's Lower Class Still Waiting For First Mention By Either Presidential Candidate	1
17611	nicely photographed 'earth' doesn't cover much new territory	0
25195	Dead Whale Buried In Aquarium's Backyard	1
28354	oprah selects franzen again	0
26869	Engagement Photographer Really Pushing ‘Vintage Couch In A Field’	1
9766	natural world: 2008-2009: a farm for the future	0
19743	Hotel's TV Channels Memorized By Second Day of Vacation	1
27686	starbucks removes beetle-based coloring	0
27439	Obama Narrowly Misses Quarterly Performance Bonus	1
12589	england brush aside kazakhstan in almaty	0
24799	Mariners Improve To Eight Games Over .300	1
29138	rand paul accused of plagiarizing speech from wikipedia	0
21564	Wheelchair-Bound Student Would Have Preferred To Sit Out Pep Rally	1
18260	s. jersey boys: guzzo's goal lifts minutemen over renegades	0
25220	Intern Sent To Testify Before Congress For The Experience	1
16205	in iraq's diyala province, us forces anticipate exit	0
27440	Red Lobster Celebrates Return Of Annual All-You-Can-Eat Krill Fest	1
12943	reality shows revolutionize arab tv	0
23331	Charlotte Bobcats Seeded 7th In NIT	1
16691	coronado condo deaths remain a mystery	0
23957	New High School Alumni Make Successful Use Of Vague Graduation Advice	1
28145	nbc cancels 'playboy club'	0
25871	Study: 80% Of Waking Hours Spent Plotting Revenge	1
13889	n.y. commuter rail offers train-to-plane discounts	0
19489	Hoping To Break Slump, Rickie Weeks Chewing Increasing Amounts Of Tobacco, Bubble Gum, Sunflower Seeds, Pine Tar All At Once	1
9438	how declan kelly helped bring us investment to ni	0
23592	17-Year-Old Thinks She's Getting Into Photography	1
11947	obama urges parties to work together on economy	0
27414	World Cup Crowd Blends 75,000 Racist Slurs Into One Beautiful Roar	1
16256	a smarter north korea policy	0
19756	Wendy's Wants Consumers To Know It's Fine With Gays, Disapproves Of Interracial Marriage	1
14906	tennessee titans center kevin mawae backtracks after saying he won't play	0
19328	New Visa Talking Credit Card Urges Buyers To Go For It	1
13884	'traveling pants' is just as comfy as ever	0
26997	Report: Mom’s Got Her Thing Tonight	1
11879	designer hopes to plug into intelligent fashion	0
22394	Wedding Catering Cart Videotaped For Posterity	1
12859	shedding the touristy in bath, england	0
21265	Bears Offensive Line Coach Mike Tice Fairly Close To Learning Difference Between Tackle And Guard	1
14846	defensive tackle anthony hargrove signs new orleans saints' offer sheet of $1.2 million	0
26194	‘Flatbread Means Pizza,’ Man Finds Self Curtly Saying To Visiting Father	1
11006	federal deficit totaled $1.23 trillion in august	0
24820	Bush To Olympians: 'Bring Back Lots Of Valuable Gold'	1
10851	u.s. scrambles to ease tension as israel's ties with allies erode	0
22468	South Africa Realizes All Its Things Were Stolen During World Cup	1
15556	iraq urges 2011 deadline for u.s. troop withdrawal	0
27125	Coco Crisp Shyly Asks Bob Melvin If A’s Are Poor	1
10916	illinois teen charged in parents' beating deaths	0
22001	Alzheimer's Disease Causing Baby Boomers To Misremember 1960s Even More	1
15213	houston vs. oklahoma city - recap - january 09, 2009	0
24900	McDonald's To Post Warning Labels On Individual Fries	1
14967	tulane vs. georgia tech - recap - january 04, 2009	0
22912	Russell Athletic Sheepishly Introduces New Cup	1
28382	brazil elects its first female president	0
25603	KurrencyKook.com Gives New $100 Bill Mixed Review	1
13665	oil drops $4 after weak spending report	0
27490	Derek Jeter Beaned Twice In All-Star Game	1
10043	rugby union - booth springs to smith's defence	0
25973	Jay-Z CEO Resigns After Stock Price Plunges	1
