136	.@Joydas aap bahut mehnat karte hain.. Aapke views aajkal kam log padhte hain	0
277	Wo beef bhi khata hai aur pork bhi, Hinduism aur Islam dono ke prati apni vichardhara vyakt karta hai, liberal ka koi dharam nahi hota.	0
79	Gayle jaise soch rahe hain ki saare run unhe hi banane hain	0
279	Subo Nabo Barsha, Hum koshish karenge, jeetenge, Macchhi Bhaat. Dhanyavad Mayawati. #KKR	0
345	Aaj kis cheez par gussa karu? Mujhe bahot gussa aa raha hai.	0
316	Alia: Mujhe Kapil se shaadi karni hai. Sumona, Alia se naraz ho sakti hai.	0
370	Sunday ko office bulane waale boss log, aapko samay ki kadar karna chahiye.	0
9	Agar main kahoo mujhe tumse mohabbat hai, meri bas yeh hi chahat hai. Toh kya tum mujhe accept karogi?	0
286	Sehwag Shikhar Dhawan aur Rohit Sharma se adhik anubhavi hain.	0
280	Koi nahi hai.. Pls mujhe aane do #MyLifeInSixWords	0
368	Agar Raina out ho gaya ho to Yuvi ko batting karne do.	0
164	Aap raat ko 12.30 baje 10000 ki lad kyu jala rahe ho?	0
83	Chhod do AAP, BJP, aur anya rajnitik parties ki baat. Khushi se raho.	0
204	Vahin, akelapan mehsoos karne wale prem kavi apni soch me hote hain; ek masala chai ki pyaali ho, koi usko pilaane wali ho.	0
468	Tweet chori par itna uproar.. Aur jo Sonia Gandhi ne desh se bahut saara paisa liya.. Uspe kuch nahi.. Yeh kaisa hai.	0
93	Kejriwal ne imaandari ka pradarshan kiya #AAPFundingScam	0
112	Barkha ji jo bhi soche, hume apna kaam karna hai... agar unhone trolled kiya toh hume kyu darna hai?	0
150	'Aaj main upar, Aasman neeche' - Yeh ek sangeet ki pankti hai.	0
295	Chitrahar dekhte samay bijli chali gayi.	0
408	Aap log bahut adhik gaali dete hain.	0
256	Mitron, madam kehti hai ye achhi baat nahi hai - Ek Pradhan Mantri #PMMashUp	0
464	Kuch kuch hota hai, tum nahi samjhogi.	0
66	Mall me saari ladkiyan achchi dikhti hai #GuyFacts	0
25	Shaam se aankho mein kuch nami si hai, TL par kuch kami si hai. #Irshaad	0
448	Desh ki bigadti sthiti ko sudharne ke liye ek upay hai.	0
449	Yeh ishq nahi asaan, ismein bahut kathinaiyan hoti hain. Happy Birthday Gulzaar Saab	0
463	Panj taare theke utthe, behke taariyan, main tera saara gussa bhool jaoon.	0
386	Koi na roke tujhe, toke tujhe raah mein ab toh raahi, kisi ka saanp tujhe ab nahi dhasne paaye.	0
228	Universal truth is, sab insaan hain.	0
412	Chalo yaar chhodo. West Indies ne achha khela. Woh hamare hi saathiyon hain, angrejo ke khilaaf inka samarthan karo !!	0
105	Agar Bihar pragati karega to Uttar Pradesh wale bhi prerna lenge. #BiharDevelopment	0
96	Sab vyakti raat mein twitter par active ho jaate hai.	0
98	#MentionTo dost ko apni timeline ke upar control karna sikho. Ye kya vyavastha hai?	0
461	Bhai @JohnDayal, aapne @bhaiyyajispeaks se anban kar li hai.. Ye situation aapke liye kathin ho sakti hai..	0
119	India wale Holi ke din bhi manoranjan karenge #CelebrationIndia	0
325	Kal gaadi ke niche a gaya. Kismat achi thi ki ek taang toot gayi, hospital me acchi dekhbhaal hui. #tweetslikegareebguy	0
354	Patidev ko samarpit aur lambe samay tak saath dena chahiye.	0
132	Aaj ka din hai 19 August. Yeh Modi ji ki progressive leadership ka ek udaharan hai.	0
192	Agar ye pressure na hota to Virat, Mohammad Aamir ke khilaf achha pradarshan karta.	0
306	Shayad Modi ji abhi vividh bharti par gaane sun rahe honge. Ye kya hua.. kaise hua..	0
442	Chetan Bhagat ka naam ka abbreviation aisa ho sakta hai - Chetan Bhagat, Chetan B., C.B., C.	0
37	Aajkal har film ka pehla promo aisa aata hai ki dekhkar lagta hai ki jab ye film aayegi tab bahut prabhav chhodega.	0
367	Iss tweet ke saare shabd kalpanik hai aur iska kisi jeevit ya mare hue vyakti se koi sambandh nahi hai.	0
92	Log bhi apne aapko badhane ki koshish karte hain #NitishKaChehraDiveshSehra	0
95	Ye tweeters ko kuch bhi ho, I'Day, koi mare, koi paida ho, desh mein emergency lag jaye. Inke dimaag mein sirf apne vishay.	0
261	Yeh Jasleen Kaur ne jhooth bola hai. Aise logo ki wajah se koi sach baat pe bhi yakin nahi karta.	0
212	Hamare U19 wicket-keeper : Bahut accha khel rahe ho, bahut accha.	0
208	Paise lekar trend karne walo.. Yaad rakhna upar jaake bhagwaan ko jawaab bhi dena padega iska	0
426	Apne jokes ko apne paas hi rakh lo.	0
53	Vodafone ka 3g sahi se kaam nahi kar raha, 4g kaise kaam karega?	0
269	Yaar, Zayn Malik aur uske fans ke liye ek alag jagah banao! Sabka mood kharab hai aaj, aur upar se ye aur pareshan kar raha hai!	0
351	Na Sadak na vikas.. Sirf andhvishwas #NitishKumar	0
383	Kuch sapne aise hote hain jo achanak se aate hain.	0
230	Tu na ja mere baadshah, ek waade ke liye, kisi aur kaam ke liye.	0
200	'Tumhi ho mata, tumhi ho' ~ Animals #dontblock	0
154	Be someone's 'bhai koi nayee film hai to de de'	0
174	Janwaron ko milega adhik chara jab hoga #LaluMuktBihar	0
344	Star gold wale har commercial break ke baad movie pahle se shuru karte hai.	0
193	Apna talent samhal ke rakhie.	0
146	Sapne suhaane jawani ke. #TwitterPoets	0
149	Pakistani team ki bowling dekhte hue, hume inko final me bhi 83 tak out karna hoga.	0
152	Itne saalo se power main rehkar aap UP ke 4 hisse nahi kar pa rahe. 50 students ke slogan se desh ke tukde nahi ho jayenge.	0
260	Bhai @ArvindKejriwal abhi to dilli aur Gujarat hi hua hai.. Poore desh mein kaam karna hai.. ANARCHY ZINDABAD	0
117	Lagta hai aaj yahan par sabne kisi khaas din ka vrat rakha hai.	0
203	Bhagwaan ka diya sab kuch hai, daulat hai shohrat hai, bas mujhe thoda aaram chahiye.	0
123	#IndvsPak worldwide trend kar raha hai aur kuch log #PakVsInd me lage hain. Pehle apne actions ko samajh lo.	0
158	Going to market to get milk and bread.. Kisi ko kuch chahiye to jaldi bol do.. Aur jaldi se Pandit Pan Bhandar pe pahuch jao..	0
172	Shri Sakshi Maharaj, Hindu purushon ke liye health supplements ki baat kar rahe hain.	0
480	Agar koi dog car trade dot com par jayega toh woh dog food hi khareedega - Abhijeet	0
472	Ravish 'Jaati Samikaran' Kumar #PatrakarRavishKumar	0
153	Aaj Spain wale match jeetenge.	0
184	Bhai @Atheist_Krishna DP me kaun sa breed ka kutta hai, pata hi nahi chal raha	0
201	Sona nahi, chandi nahi, yaar bhi nahi mila. Pyar ke bina kaise chain milega?	0
