0	Thoda Green Tea lekar piye, shayad charbi kam hojaaye.	0
0	Thoda Green Tea lekar usko apni gaand mein daal do, shayad charbi kam hojaaye.	1
1	Ye uncle apni biwi ke saath.. Roadside pe gaadi khadi karke.. Bhari dopahari me mithai kha rahe hai.. Shayad yehi pyaar hai	0
1	Ye uncle apni biwi ke saath.. Roadside pe gaadi khadi karke.. Bhari dopahari me pani patashe kha rahe hai.. Shayad yehi pyaar hai	1
2	Ladkiya iski baato se sahmat ho jati hain, iss baar aur ab se har baar @Lambar_Daar	0
2	Ladkiya iski baato se maan jati haar Iss baar aur ab se har baar @Lambar_Daar	1
3	'Bhai kuch paise udhaar dena" ka mahina.	0
3	'Bhai kuch paise udhaar dena" week of the month.	1
4	AAP walon ka ye haal hai ki agar Modi pe koi tippani karo to bhi unhe tarif hi lagti hai.	0
4	AAP walon ke ye haal hai ki agar Modi pe joke maro to bhi unhe tarif hi lagti hai.	1
5	Kya Modi ji Bloodshot issue par kuch kahenge ?? ~ Log	0
5	Kya Modi ji Bloodshot issue par kuch kahenge ?? ~ Liberals	1
6	Ravish, dukaan wale se Bhaiya 6 ande, 2 packet doodh, 1 bread aur aadha kilo samagri pack kar do.	0
6	Ravish, dukaan wale se Bhaiya 6 ande, 2 packet doodh, 1 bread aur aadha kilo jaati samikaran pack kar do #FarziPatrakarRavishKumar	1
7	Kisi bhi tarah ka account bana lo, log samay spend karne ke liye ready hain.	0
7	Kuch bhi chutiya account bana lo, log bahut velle hai.	1
8	Rabada ko kuch galat consequences ka samna karna padega.	0
8	Rabada ko maata raaani ka paap chadega.	1
9	Agar main kahoo mujhe tumse mohabbat hai, meri bas yeh hi chahat hai. Toh kya tum mujhe accept karogi?	0
9	Agar main kahoo mujhe tumse mohabbat hai, meri bas yeh hi chahat hai. Toh kya gaand marogi?	1
10	Suno dhyan se, humein Gandhi ke vichar mat dikhaao, chahe kitna bhi prayaas karo, hum sabse aage honge Hindustani.	0
10	Suno gaur se bhosdiwalo Gandhi nazar na hum par dalo Chahe gaand ka zor laga lo Sabse aage honge Hindustani	1
11	Koi Watson ko Wahab Riaz ke baare mein batao.	0
