Kaash koi ladki mujhe pyar karti' ~ Gay people	Kaash koi mujhe pyar karta' ~ Samlaingik log.	Yes
Kuch bhi chutiya account bana lo, log bahut velle hai.	Koi bhi account bana lo, log samay par dhyan denge.	Yes
Watson ke kaan me dheere se Wahab Riaz to bol ke aao koi.	Kripya koi Watson ko Wahab Riaz ki baat samjhaye.	Yes
#LoseAFriendIn3Words BhabhiHogiTeri ShaadiHogi Meri	#DostiMeinBadlavIn3Words TumhariShaadi, MeriShaadi, BhabhiBanogiTumhari	Yes
Bas bajna chahiye Gaza' ~ Israel	"Israel chahta hai ki Gaza shanti se rahe."	Yes
Salman ki ex par kabhi sandeh nahi karte. Kabhi bhi maat de sakti hai.	Salman ki poorv saathi par kabhi sandeh nahi karte. Kabhi bhi unhe saflta mil sakti hai.	Yes
Amazon apni dukan hai fir bhi kuch lene ke liye paise dene padte hai. wtf.	Amazon ek e-commerce platform hai jahan hume apne zarurat ke anusaar vastuon ke liye bhugtan karna padta hai.	Yes
Karishma Kapoor ne raja hindustani mein itni jor se acting ki hai ke bas.	Karishma Kapoor ne raja hindustani mein bahut hi prabhavshali abhinay kiya hai.	Yes
Ye mera gaon hai aur main is gaon ka Singham #Ranchipic.twitter.com/Au5l2xMcV9	Ye mera gaon hai aur main is gaon ka pramukh hu #Ranchipic.twitter.com/Au5l2xMcV9	Yes
Consistency ka naam KRK 2 saal pehle bhi chutiya tha.. Ab bhi chutiya hai..	KRK ka vyaktitva 2 saal pehle bhi vaisa hi tha.. Ab bhi waisa hi hai..	Yes
Agar Dubai ke mall mein jaakar, sports car ke showroom mein gaadi ke saath photo nahi khcichayi toh Indian nahi ho tum.	Agar Dubai ke mall mein jaakar, sports car ke showroom mein gaadi ke saath photo nahi khichayi toh aapne ek aam activity miss kar di.	Yes
Bhai kuch paise udhaar dena" week of the month.	"Bhai, kuch paise udhaar dena" mahine ka samay.	No
AAP walon ke ye haal hai ki agar Modi pe joke maro to bhi unhe tarif hi lagti hai.	AAP ke kuch logon ka ye vichar hai ki agar Modi par mazaak bhi udaya jaaye to bhi unhe prashansa hi lagti hai.	No
Kya Modi ji Bloodshot issue par kuch kahenge ?? ~ Liberals	Kya Modi ji Bloodshot issue par apne vichar vyakt karenge? ~ Liberals	No
Bipasha: Sadiyon se iss pyasi zameen par paani ki ek boond tak nahi padi... Akshay: Apne ko toh sirf paani nikalna hai.	Bipasha: Yeh sukhi zameen par sadiyon se ek boond paani tak nahi padi... Akshay: Mujhe toh sirf paani nikalna hai.	No
Salman Khan Bail has prevented two news reports "Kya khaya pehli raat jail main Salman ne" "Raat bhar karwat badalte rahe bhai"	Salman Khan ki bail ne do samachar rok diye - "Pehli raat jail mein Salman ne kya khaya" aur "Raat bhar karwat badalte rahe Salman Khan	No
Ye Dhoni to pandya ko leke emotional ho raha hai !!	Dhoni, Pandya ko lekar bhavuk ho rahe hain!	Yes
Gay marriage me bhi lifafa dena padega ? #Lovewins	Kya same-sex marriage mein bhi tohfa dena padega? #Lovewins	Yes
Jallikattu Bulls kya ban kar diya Share market ke Bulls bhi gayab ho gaye	Jallikattu Bulls ke band hone ke baad, share market ke Bulls bhi dikhayi nahi de rahe hain.	Yes
